"id","elementos","ele_corr","remesa","extremos","intersecc","g1","g2","g3","g5","g51","t1","t2","gl1","gl2","gl3","gl4","l1","l2","l3","l4","error"
193783,473,471,7,191,190,1,9,471,1,1,1,21,82,80,2,0,2,0,0,0,"NO"
194585,901,899,7,330,328,1,10,899,12,1,1,57,285,283,12,0,2,0,0,0,"SI"
193224,216,214,7,47,46,1,1,214,21,0,0,32,47,47,2,0,0,34,0,0,"NO"
190840,455,446,7,82,80,1,0,446,48,0,1,48,82,82,4,0,0,0,54,9,"SI"
193767,295,291,7,102,104,0,0,291,5,1,0,31,98,97,2,0,4,0,0,0,"SI"
192626,657,655,7,214,215,3,5,655,25,0,0,83,214,214,5,0,2,0,0,0,"NO"
192723,631,631,7,230,229,0,2,631,22,0,0,36,159,158,7,0,0,0,0,0,"NO"
194327,780,778,7,334,333,0,1,778,29,0,1,20,325,324,17,0,2,0,0,0,"NO"
194180,2317,2315,7,998,992,3,2,2315,21,0,0,73,997,997,36,0,2,0,0,0,"NO"
194027,975,975,7,367,365,5,8,975,8,2,0,74,367,335,367,0,0,0,0,0,"NO"
194049,80,80,5,33,32,0,0,80,1,0,0,17,33,33,1,0,0,0,0,0,"NO"
194199,911,911,"5y7",284,283,1,5,911,21,0,0,53,218,218,8,0,0,3,0,0,"NO"
193697,1286,1275,7,463,460,2,6,1275,28,0,0,95,453,453,19,0,11,0,0,0,"SI"
192166,1058,1056,7,439,438,0,1,1056,15,0,0,49,439,438,439,0,2,0,0,0,"NO"
194099,500,499,7,205,204,3,1,499,12,0,0,17,205,205,9,0,1,1,0,0,"NO"
193722,458,458,7,174,172,0,4,458,9,0,0,19,174,174,4,0,0,0,0,0,"NO"
192492,845,842,7,379,376,0,3,842,17,0,0,22,315,313,11,0,3,0,0,0,"NO"
192087,191,188,7,77,76,0,0,188,8,0,0,8,77,77,5,0,3,0,0,0,"NO"
194426,645,643,7,289,287,0,1,643,8,0,1,48,283,283,17,0,2,2,0,0,"SI"
192544,405,405,7,195,194,2,1,405,7,0,0,3,138,138,8,0,0,0,0,0,"NO"
191419,1038,1038,7,347,344,0,7,1038,71,0,0,78,341,340,15,0,0,0,22,0,"NO"
189966,331,311,9,56,91,0,1,311,11,0,0,42,36,35,2,0,7,0,2,13,"NO"
191051,845,845,8,232,231,2,9,845,26,0,1,39,202,201,10,0,0,2,0,0,"NO"
191010,1679,1676,8,553,551,6,11,1676,134,0,0,87,553,522,553,0,3,0,2,0,"NO"
192349,197,194,8,51,50,1,1,194,18,0,0,18,32,31,2,0,2,11,5,1,"NO"
194354,1962,1960,"8y11",646,644,10,15,1960,48,2,1,72,646,646,20,0,1,2,94,1,"NO"
191807,687,686,10,210,209,3,3,686,49,4,0,44,210,210,4,0,1,0,1,0,"NO"
189164,540,538,9,241,240,0,0,538,7,7,0,17,224,221,16,0,2,0,0,0,"NO"
